Civ.;Nom;Prénom;Parcours;Groupe;Etat;Mail;Personnel;Etape;etudid;code_nip;code_ine
M.;Antoine;Jean;;A1;I;jean.antoine@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;15731;68661486;
M.;Barthelemy;Édouard;;C1;I;edouard.barthelemy@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;14311;46331451;
Mme;Berger;Inès;;C1;I;ines.berger@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15747;97420288;
M.;Bertrand;David;;C2;I;david.bertrand@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15720;67870058;
M.;Bertrand;Grégoire;;B1;I;gregoire.bertrand@uphf.fr;;BUT3 INFO Parcours A (T3BUTINF-A3-P01) - FI;15724;67038774;
M.;Blanchard;Louise;;B2;I;louise.blanchard@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15712;97420278;
M.;Blondel;Élisabeth;;C1;I;elisabeth.blondel@uphf.fr;;;15675;15289856;
M.;Blondel;François;;B1;I;francois.blondel@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15707;68621782;
M.;Boulay;Caroline;;C1;I;caroline.boulay@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15750;31996127;
M.;Bousquet;Madeleine;;B2;I;madeleine.bousquet@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15725;46491249;
M.;Brunet;Aimé;;A2;I;aime.brunet@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15683;73860195;
M.;Brunet;Augustin;;B1;I;augustin.brunet@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;15705;16309874;
M.;Chauvet;Martine;;A2;I;martine.chauvet@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15697;83547601;
M.;Chauvin;Corinne;;A2;I;corinne.chauvin@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15700;88318269;
Mme;Chauvin;Marguerite;;B1;I;marguerite.chauvin@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15704;73265710;
M.;Colin;Mathis;;B1;I;mathis.colin@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;15703;97420285;
M.;Cordier;Étienne;;A2;I;etienne.cordier@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;15715;24598400;
M.;Coste;Hélène;;A2;I;helene.coste@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15698;48270003;
M.;Couturier;Margot;;B2;I;margot.couturier@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15677;19133399;
M.;Da Silva;Clémence;;B2;I;clemence.dasilva@uphf.fr;;BUT3 INFO Parcours A (T3BUTINF-A3-P01) - FI;15734;65923897;
M.;Da Silva;Hortense;;C2;I;hortense.dasilva@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15695;38235708;
M.;Delahaye;Éléonore;;A1;I;eleonore.delahaye@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;14336;34234443;
M.;Delannoy;Astrid;;B1;I;astrid.delannoy@uphf.fr;;BUT3 INFO Parcours A (T3BUTINF-A3-P01) - FI;14338;42623668;
M.;Dupont;Maryse;;B1;I;maryse.dupont@uphf.fr;;BUT3 INFO Parcours A (T3BUTINF-A3-P01) - FI;15688;89651948;
M.;Dupuis;Tom;;C2;I;tom.dupuis@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;14339;97420281;
M.;Étienne;Margot;;C2;I;margot.etienne@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;14341;45786893;
Mme;Faure;Jules;;A1;I;jules.faure@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15743;97420277;
M.;Fischer;Sylvie;;A2;I;sylvie.fischer@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15713;10073346;
M.;Fontaine;Pierre;;A1;I;pierre.fontaine@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15718;97420287;
Mme;Gaillard;Martin;;A2;I;martin.gaillard@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15676;57900688;
M.;Garcia;Philippine;;A1;I;philippine.garcia@uphf.fr;;BUT2 INFORMATIQUE (T3BUTINF-A2-P01) - FI;15706;41527123;
Mme;Garnier;Léa;;C1;I;lea.garnier@uphf.fr;;BUT1 INFORMATIQUE (T3BUTINF-A1) - FI;15748;97420274;
